timestamp,horizon,model_type,kernel,C,gamma,epsilon,features_count,r2_score,rmse,mae,mape
20250825_191319,1,SVR (rbf),rbf,100,0.1,0.1,33,0.9888022675426736,3.2884707500495214,2.243018926403141,0.2718466310995567
20250825_191319,6,SVR (rbf),rbf,100,0.1,0.1,33,0.9300358950546771,8.224859468813559,5.9083269420848294,1.5890811267720935
20250825_191319,24,SVR (rbf),rbf,100,0.1,0.1,33,0.8640094893611441,11.496142557104761,8.671087380975509,1.42189204468526
20250825_191319,48,SVR (rbf),rbf,100,scale,0.1,33,0.7926011166871443,14.23993033762688,10.977635022941296,2.648928232510065
20250825_191319,72,SVR (rbf),rbf,100,scale,0.1,33,0.7385089754356741,16.04428804918973,12.407042283601907,3.160956793058519
