horizon,model_type,sequence_length,features_used,parameters,r2_score,rmse,mae,mape
1,"All Features LSTM (h=128, l=2, seq=48)",48,80,651905,0.9739684198324008,9.581698773556017,6.788050379421109,0.18268686096995704
6,"All Features LSTM (h=192, l=2, seq=72)",72,80,1401793,0.8974072841022515,18.97693900532437,13.437590299775696,0.4566865306546119
24,"All Features LSTM (h=256, l=2, seq=96)",96,100,2475265,0.7778582619421601,28.05223336904147,20.17209370760256,0.564438956003806
48,"All Features LSTM (h=256, l=2, seq=120)",120,120,2516225,0.7041250284737129,32.466675246417175,22.676747513603864,0.6448754890760146
72,"All Features LSTM (h=320, l=2, seq=144)",144,140,3903041,0.7333568932159056,30.77938002905675,22.309436003011772,0.7994685822330945
