#{"t_start": 1758182855.9430115, "env_id": "None"}
r,l,t
-71297.005859,24,2.177344
-3371.56575,24,2.295071
-3118.198748,24,2.40047
-95601.27002,24,2.501442
-8801.014898,24,2.614335
-78107.950073,24,2.719242
-18548.817825,24,2.825455
-6634.866481,24,2.928705
-31082.504547,24,3.037136
-6763.533295,24,3.138146
-358.592176,24,3.246605
-62478.625488,24,3.353772
-42111.240524,24,3.467372
-94072.5,24,3.573998
-48.224887,24,3.678425
-7037.560356,24,3.795716
-99524.258301,24,3.964449
-47652.974268,24,4.066056
-16633.428192,24,4.169946
-24299.87719,24,4.274872
-3867.352797,24,4.391075
-100966.969482,24,4.502438
-1708.080035,24,4.615279
-66520.268738,24,4.719014
-93317.96228,24,4.834413
-9848.297045,24,4.943982
-3910.885238,24,5.046516
-49113.182342,24,5.15395
-42525.959404,24,5.26705
-31910.640015,24,5.372029
-7057.778929,24,5.479506
-335.707824,24,5.58457
-73511.390747,24,5.708088
-85108.230225,24,5.828435
-2736.740858,24,5.957081
-90740.897949,24,6.064599
-75860.531128,24,6.1904
-102002.631348,24,6.3116
-94527.142334,24,6.422396
-6394.407692,24,6.538088
-3060.436604,24,6.653643
-7117.070229,24,6.759037
-14958.735641,24,6.876014
-15203.039928,24,6.988365
-14641.07399,24,7.1252
-88532.258911,24,7.245802
-4523.159435,24,7.368813
-13254.790085,24,7.515438
-87719.373779,24,7.659341
268.429359,24,7.776986
-94831.137085,24,7.893196
-42898.64085,24,8.010571
-44836.553833,24,8.131674
-91890.382568,24,8.281331
-85861.955566,24,8.391097
-103298.061768,24,8.498355
-5503.606727,24,8.61339
-19179.473602,24,8.724255
-99760.461426,24,8.834012
-98392.507812,24,8.940091
-2708.550462,24,9.055868
-56443.836441,24,9.167589
-919.727582,24,9.278682
-20478.923126,24,9.387622
-7245.029198,24,9.50116
-270.291002,24,9.613224
-100395.873291,24,9.733666
-824.582231,24,9.856724
-4800.294614,24,9.975125
-5985.143151,24,10.083675
-7306.094551,24,10.204806
-10209.361488,24,10.351701
-26827.333008,24,10.474269
-96433.666016,24,10.588929
-6711.504997,24,10.70163
-52327.088898,24,10.810084
-18030.146973,24,10.922669
-9241.820729,24,11.077755
-8990.096363,24,11.290555
-67868.967712,24,11.440263
2161.031999,24,11.648161
-2271.402046,24,11.792819
-31675.251022,24,11.924426
-92822.102478,24,12.079696
