#{"t_start": 1757807888.4032516, "env_id": "None"}
r,l,t
-97327.912109,24,1.993489
-67550.205856,24,2.089927
-35243.740024,24,2.187252
-16107.073643,24,2.283054
-1181.914856,24,2.386302
-32689.081085,24,2.4907
-4424.27457,24,2.588669
-89115.812134,24,2.685558
-2755.265079,24,2.787662
-79135.758484,24,2.88371
-2113.11841,24,2.977992
-9750.204626,24,3.074957
-53007.174316,24,3.175802
-43419.702606,24,3.270501
-987.92062,24,3.364233
-32953.333389,24,3.457232
-5445.892559,24,3.556947
-5649.819721,24,3.654285
-95292.287842,24,3.749917
-75963.726538,24,3.852782
-3290.988783,24,3.955049
-96635.378418,24,4.052469
-74406.554199,24,4.14837
-73652.424316,24,4.246131
1152.631433,24,4.351186
-37964.706314,24,4.449724
-91026.235596,24,4.551593
-4839.22152,24,4.646909
-55505.165894,24,4.748664
-5015.781593,24,4.843288
-8659.728745,24,4.936062
-4483.401199,24,5.033062
-17573.364151,24,5.142445
-14039.885612,24,5.238938
-7717.979469,24,5.333805
-3696.647064,24,5.426503
-93075.861572,24,5.538617
-59234.523041,24,5.636015
-102102.080566,24,5.733536
-77205.409912,24,5.829863
-2268.524902,24,5.932164
-1041.028577,24,6.02933
-19936.500824,24,6.126548
-91829.301758,24,6.224792
640.515799,24,6.326581
-71161.880066,24,6.441868
-21052.276823,24,6.56016
-83541.764893,24,6.693379
-91700.641113,24,6.802297
-6659.937675,24,6.905102
-11563.741446,24,7.007044
-93709.875,24,7.106482
-39532.572929,24,7.205903
-3541.505539,24,7.303176
-87105.759521,24,7.414717
-4982.236916,24,7.520788
-95615.963623,24,7.623841
2515.876287,24,7.718904
-93137.266602,24,7.813428
-29586.567841,24,7.913324
-82130.116455,24,8.037815
-58627.649567,24,8.135224
-9062.52681,24,8.232722
-15850.216499,24,8.328443
-47480.258015,24,8.431247
-3734.76819,24,8.529124
-74908.24115,24,8.637199
-36936.521996,24,8.730299
-1044.711191,24,8.831574
-69064.238892,24,8.924949
-54258.585205,24,9.043583
226.154411,24,9.1434
-98858.161133,24,9.24853
-54439.748901,24,9.350973
-94503.820557,24,9.44558
-90245.614746,24,9.549154
-58138.438232,24,9.660374
-45405.411751,24,9.766667
-64336.271973,24,9.868989
-66567.489258,24,10.025454
-89834.756592,24,10.185685
458.592497,24,10.299049
-64362.950745,24,10.397822
-69582.328552,24,10.494987
-94633.327759,24,10.603684
-99661.742676,24,10.709612
-62789.048157,24,10.812931
-69303.05365,24,10.910147
-93465.779053,24,11.013737
-2191.810888,24,11.115665
-13753.183762,24,11.24245
-33795.051697,24,11.340736
-97656.003418,24,11.447023
-95739.228516,24,11.548765
-17627.806213,24,11.658355
-3294.423785,24,11.760571
-41820.929962,24,11.863093
-93888.520996,24,11.960852
-16573.101959,24,12.063789
896.37851,24,12.17052
-720.151229,24,12.274921
-1306.104671,24,12.375577
-4425.975674,24,12.479412
-93050.695557,24,12.580061
-976.24252,24,12.680532
-60761.282852,24,12.77565
-57898.819931,24,12.871547
-4702.814812,24,12.968602
-100628.056396,24,13.073181
-92239.448486,24,13.179758
-92443.731689,24,13.278398
-10403.363033,24,13.385492
-4528.057577,24,13.492664
-8759.788551,24,13.591222
-78584.516724,24,13.690404
-91516.383301,24,13.789955
825.774371,24,13.891672
-97946.394287,24,13.987273
-61097.611603,24,14.086327
-25674.726883,24,14.189892
-9007.644547,24,14.29346
824.923627,24,14.392043
-21100.801895,24,14.492139
-94109.747803,24,14.588239
-100549.67749,24,14.700634
-8137.113785,24,14.798166
1063.01034,24,14.895896
-227.717611,24,14.991562
-1278.664673,24,15.094608
-55939.93481,24,15.191752
-5629.156061,24,15.291216
131.961559,24,15.389099
-1068.357954,24,15.48905
-4554.048318,24,15.586341
-97157.461792,24,15.686373
-68728.326111,24,15.781965
-42279.080635,24,15.885424
-80972.417786,24,15.984289
-28398.88623,24,16.105637
-61979.86438,24,16.205516
2365.935052,24,16.309264
-50968.321426,24,16.415673
-9841.680889,24,16.525063
-884.813992,24,16.630982
-6676.007202,24,16.736301
435.325859,24,16.839366
-830.749641,24,16.937194
-5843.632662,24,17.034957
-6230.828417,24,17.135612
-2927.446814,24,17.233087
-104293.114014,24,17.3305
-9587.239677,24,17.427198
-165.881128,24,17.535738
-90782.741211,24,17.633266
-6999.74958,24,17.734798
-522.798848,24,17.83202
-59809.862122,24,17.94042
-76848.944153,24,18.035779
-5771.465561,24,18.133408
-29791.821533,24,18.229279
-8441.384468,24,18.331836
-18632.795074,24,18.428003
-3972.882111,24,18.52319
-97344.87207,24,18.618187
-34402.324774,24,18.724496
-84775.421387,24,18.822769
-1348.906015,24,18.925057
-90867.890869,24,19.022032
-90326.543213,24,19.123178
-15469.590084,24,19.223374
746.805332,24,19.320522
-1086.486231,24,19.421521
-4816.444173,24,19.526503
-87433.23938,24,19.635543
-60945.944244,24,19.732064
-4115.389838,24,19.830976
-93002.056763,24,19.938442
-76624.165588,24,20.04749
-69677.912964,24,20.15378
152.653561,24,20.256358
-30338.986786,24,20.360063
-3379.772526,24,20.464367
-35107.16914,24,20.56032
-103593.950195,24,20.658386
-6254.606705,24,20.770887
554.864626,24,20.869693
-3397.660682,24,20.966016
-66052.46875,24,21.063496
-6719.803415,24,21.169098
-8385.80381,24,21.277447
-50084.06691,24,21.375015
669.311432,24,21.471308
-1401.963286,24,21.578393
-93226.098145,24,21.675463
-79067.214783,24,21.77476
-96979.462158,24,21.872285
228.975605,24,21.971994
-983.678391,24,22.071307
-94638.052246,24,22.168267
-96258.024658,24,22.269129
-22294.187744,24,22.370842
-320.759018,24,22.467272
288.65517,24,22.564212
-13633.397511,24,22.660003
