timestamp,horizon,model_type,features_used,parameters,r2_score,rmse,mae,mape
20250825_184635,1,All Features FFNN (256 -> 128),120,64769,0.9900658869532888,5.940699691778818,4.178428027942652,0.1074406690649205
20250825_184635,6,All Features FFNN (512 -> 256),120,195073,0.9331296069016386,15.4082843170919,10.882858930832057,0.3627218123317845
20250825_184635,24,All Features FFNN (512 -> 256 -> 128),154,245505,0.8531837933499975,22.819620624386417,16.35074624802279,0.538537697040353
20250825_184635,48,All Features FFNN (768 -> 384 -> 192),154,491137,0.8058107826353602,26.194383610144673,19.14573921046774,0.652241292551012
20250825_184635,72,All Features FFNN (1024 -> 512 -> 256 -> 128),154,851713,0.6866579748826656,33.18890080341491,23.303537112833716,0.6661064090781473
