horizon,feature,importance_score
48h,temp_volatility_24h,10675.152696106063
48h,demand_volatility_72h,19382.86386861914
48h,temp_volatility_72h,9908.956305001399
48h,demand_volatility_168h,29108.86352258868
48h,temp_volatility_168h,7219.841085377782
72h,app_temp,49210.01192405511
72h,azimuth,28.85657896972701
72h,clouds,1027.0455836079466
72h,dewpt,29788.132799973828
72h,dhi,4581.475645159566
72h,dni,4160.6465581923985
72h,elev_angle,6976.114967352649
72h,ghi,5943.738609277548
72h,precip,12.44073700452145
72h,pres,106.08384022833131
72h,rh,6323.920058306493
72h,slp,476.2693465971318
